"event_id","person_id","device_id","mu_event_id","event_start_date_utc","event_start_date_local","event_end_date_utc","event_end_date_local","event_recorded_date_utc","event_uploaded_date_utc","event_uploaded_date_local","event_status","event_status_flags","event_type_id","event_type_name","event_type_code","event_type_description","event_type_criticality_id","event_type_criticality_name","_file_name","_feed_type","_delivery_date","_dlt_load_id","_dlt_id","client_id","location_id"
"3606125","42662","688","2930670","2025-09-10 18:09:00.000","2025-09-10 19:09:00.000","2025-09-10 18:09:00.000","2025-09-10 19:09:00.000","2025-09-10 18:09:16.745","2025-09-10 18:09:16.745","2025-09-10 19:09:16.745","F","0","157","Status Check","EV_PARTIAL_CALLBACK","Status Check","1","LOW","event_home_office_20250911070226.jsonl","home_office","2025-09-11","1757646197.100763","lbdByZyUHLMS1w",,
"3606198","42662","688","2930749","2025-09-10 19:09:00.000","2025-09-10 20:09:00.000","2025-09-10 19:09:00.000","2025-09-10 20:09:00.000","2025-09-10 19:09:06.456","2025-09-10 19:09:06.456","2025-09-10 20:09:06.456","F","0","157","Status Check","EV_PARTIAL_CALLBACK","Status Check","1","LOW","event_home_office_20250911070226.jsonl","home_office","2025-09-11","1757646197.100763","QFq7hOb5UjlJTQ",,
"3606264","42662","688","2930821","2025-09-10 20:09:00.000","2025-09-10 21:09:00.000","2025-09-10 20:09:00.000","2025-09-10 21:09:00.000","2025-09-10 20:09:11.112","2025-09-10 20:09:11.112","2025-09-10 21:09:11.112","F","0","157","Status Check","EV_PARTIAL_CALLBACK","Status Check","1","LOW","event_home_office_20250911070226.jsonl","home_office","2025-09-11","1757646197.100763","gstmDi02qgk1kA",,
"3606335","42662","688","2930897","2025-09-10 21:09:00.000","2025-09-10 22:09:00.000","2025-09-10 21:09:00.000","2025-09-10 22:09:00.000","2025-09-10 21:09:16.013","2025-09-10 21:09:16.013","2025-09-10 22:09:16.013","F","0","157","Status Check","EV_PARTIAL_CALLBACK","Status Check","1","LOW","event_home_office_20250911070226.jsonl","home_office","2025-09-11","1757646197.100763","U9ykctMHxdH6qQ",,
"3606401","42662","688","2930968","2025-09-10 22:09:00.000","2025-09-10 23:09:00.000","2025-09-10 22:09:00.000","2025-09-10 23:09:00.000","2025-09-10 22:09:05.787","2025-09-10 22:09:05.787","2025-09-10 23:09:05.787","F","0","157","Status Check","EV_PARTIAL_CALLBACK","Status Check","1","LOW","event_home_office_20250911070226.jsonl","home_office","2025-09-11","1757646197.100763","p6SPpncptWQxrw",,
"3606481","42662","688","2931052","2025-09-10 23:09:01.000","2025-09-11 00:09:01.000","2025-09-10 23:09:01.000","2025-09-11 00:09:01.000","2025-09-10 23:09:10.996","2025-09-10 23:09:10.996","2025-09-11 00:09:10.996","F","0","157","Status Check","EV_PARTIAL_CALLBACK","Status Check","1","LOW","event_home_office_20250911070226.jsonl","home_office","2025-09-11","1757646197.100763","MbpnVsoFJHL0OQ",,
"3606580","42662","688","2931155","2025-09-11 00:09:01.000","2025-09-11 01:09:01.000","2025-09-11 00:09:01.000","2025-09-11 01:09:01.000","2025-09-11 00:09:16.114","2025-09-11 00:09:16.114","2025-09-11 01:09:16.114","F","0","157","Status Check","EV_PARTIAL_CALLBACK","Status Check","1","LOW","event_home_office_20250911070226.jsonl","home_office","2025-09-11","1757646197.100763","YsK5OqlBm9pn7Q",,
"3606660","42662","688","2931240","2025-09-11 01:09:00.000","2025-09-11 02:09:00.000","2025-09-11 01:09:00.000","2025-09-11 02:09:00.000","2025-09-11 01:09:06.277","2025-09-11 01:09:06.277","2025-09-11 02:09:06.277","F","0","157","Status Check","EV_PARTIAL_CALLBACK","Status Check","1","LOW","event_home_office_20250911070226.jsonl","home_office","2025-09-11","1757646197.100763","/r47kU9LFsAHGw",,
"3606724","42662","688","2931309","2025-09-11 02:09:01.000","2025-09-11 03:09:01.000","2025-09-11 02:09:01.000","2025-09-11 03:09:01.000","2025-09-11 02:09:11.266","2025-09-11 02:09:11.266","2025-09-11 03:09:11.266","F","0","157","Status Check","EV_PARTIAL_CALLBACK","Status Check","1","LOW","event_home_office_20250911070226.jsonl","home_office","2025-09-11","1757646197.100763","HcHr/R++nCDIMQ",,
"3606794","42662","688","2931384","2025-09-11 03:09:00.000","2025-09-11 04:09:00.000","2025-09-11 03:09:00.000","2025-09-11 04:09:00.000","2025-09-11 03:09:16.355","2025-09-11 03:09:16.355","2025-09-11 04:09:16.355","F","0","157","Status Check","EV_PARTIAL_CALLBACK","Status Check","1","LOW","event_home_office_20250911070226.jsonl","home_office","2025-09-11","1757646197.100763","jhJqlfxtiyjAyg",,
"3606859","42662","688","2931455","2025-09-11 04:09:01.000","2025-09-11 05:09:01.000","2025-09-11 04:09:01.000","2025-09-11 05:09:01.000","2025-09-11 04:09:06.384","2025-09-11 04:09:06.384","2025-09-11 05:09:06.384","F","0","157","Status Check","EV_PARTIAL_CALLBACK","Status Check","1","LOW","event_home_office_20250911070226.jsonl","home_office","2025-09-11","1757646197.100763","MFGJZVLAfN/D2Q",,
"3606929","42662","688","2931530","2025-09-11 05:09:01.000","2025-09-11 06:09:01.000","2025-09-11 05:09:01.000","2025-09-11 06:09:01.000","2025-09-11 05:09:11.378","2025-09-11 05:09:11.378","2025-09-11 06:09:11.378","F","0","157","Status Check","EV_PARTIAL_CALLBACK","Status Check","1","LOW","event_home_office_20250911070226.jsonl","home_office","2025-09-11","1757646197.100763","Lv1nI6Qohyyv5Q",,
"3607001","42662","688","2931608","2025-09-11 06:09:00.000","2025-09-11 07:09:00.000","2025-09-11 06:09:00.000","2025-09-11 07:09:00.000","2025-09-11 06:09:16.654","2025-09-11 06:09:16.654","2025-09-11 07:09:16.654","F","0","157","Status Check","EV_PARTIAL_CALLBACK","Status Check","1","LOW","event_home_office_20250911070226.jsonl","home_office","2025-09-11","1757646197.100763","9i4cxtlogbSp5A",,
"3607072","42662","688","2931684","2025-09-11 07:09:01.000","2025-09-11 08:09:01.000","2025-09-11 07:09:01.000","2025-09-11 08:09:01.000","2025-09-11 07:09:06.403","2025-09-11 07:09:06.403","2025-09-11 08:09:06.403","F","0","157","Status Check","EV_PARTIAL_CALLBACK","Status Check","1","LOW","event_home_office_20250911071226.jsonl","home_office","2025-09-11","1757646197.100763","vnYCJnXF8Vqjzg",,
"3607133","42662","688","2931755","2025-09-11 08:06:50.000","2025-09-11 09:06:50.000",,,"2025-09-11 08:06:56.109","2025-09-11 08:06:56.109","2025-09-11 09:06:56.109","A","4096","84","Power Loss","EV_MU_MAINS_START","Power Loss","3","HIGH","event_home_office_20250911080726.jsonl","home_office","2025-09-11","1757646197.100763","xQVB7Ds8NQ3F6A",,
"3607134","42662","688","2931756","2025-09-11 08:07:28.000","2025-09-11 09:07:28.000","2025-09-11 08:07:47.000","2025-09-11 09:07:47.000","2025-09-11 08:07:56.189","2025-09-11 08:07:56.189","2025-09-11 09:07:56.189","F","4352","76","Motion Start","EV_MU_TILT_START","Motion Started","2","MEDIUM","event_home_office_20250911081226.jsonl","home_office","2025-09-11","1757646197.100763","icGCDZHlLGoYdg",,
"3607135","42662","688","2931757","2025-09-11 08:07:47.000","2025-09-11 09:07:47.000","2025-09-11 08:07:47.000","2025-09-11 09:07:47.000","2025-09-11 08:08:11.233","2025-09-11 08:08:11.233","2025-09-11 09:08:11.233","F","4096","77","Motion End","EV_MU_TILT_END","Motion End","1","LOW","event_home_office_20250911081226.jsonl","home_office","2025-09-11","1757646197.100763","SWvXqyR8LnS+ww",,
"3607140","42662","688","2931762","2025-09-11 08:09:02.000","2025-09-11 09:09:02.000","2025-09-11 08:09:02.000","2025-09-11 09:09:02.000","2025-09-11 08:09:11.416","2025-09-11 08:09:11.416","2025-09-11 09:09:11.416","F","4096","157","Status Check","EV_PARTIAL_CALLBACK","Status Check","1","LOW","event_home_office_20250911081226.jsonl","home_office","2025-09-11","1757646197.100763","fvtjMumyrobLcg",,
"3607150","42662","688","2931773","2025-09-11 08:13:25.000","2025-09-11 09:13:25.000","2025-09-11 08:13:39.000","2025-09-11 09:13:39.000","2025-09-11 08:13:41.834","2025-09-11 08:13:41.834","2025-09-11 09:13:41.834","F","4352","76","Motion Start","EV_MU_TILT_START","Motion Started","2","MEDIUM","event_home_office_20250911081726.jsonl","home_office","2025-09-11","1757646197.100763","qzHo1LnllcCxiw",,
"3607153","42662","688","2931776","2025-09-11 08:13:39.000","2025-09-11 09:13:39.000","2025-09-11 08:13:39.000","2025-09-11 09:13:39.000","2025-09-11 08:13:56.891","2025-09-11 08:13:56.891","2025-09-11 09:13:56.891","F","4096","77","Motion End","EV_MU_TILT_END","Motion End","1","LOW","event_home_office_20250911081726.jsonl","home_office","2025-09-11","1757646197.100763","Ye72cUNFv07FFA",,
"3607154","42662","688","2931777","2025-09-11 08:13:59.000","2025-09-11 09:13:59.000","2025-09-11 08:14:13.000","2025-09-11 09:14:13.000","2025-09-11 08:14:26.953","2025-09-11 08:14:26.953","2025-09-11 09:14:26.953","F","4352","76","Motion Start","EV_MU_TILT_START","Motion Started","2","MEDIUM","event_home_office_20250911081726.jsonl","home_office","2025-09-11","1757646197.100763","eCGJP3fXv/m8CQ",,
"3607155","42662","688","2931778","2025-09-11 08:14:13.000","2025-09-11 09:14:13.000","2025-09-11 08:14:13.000","2025-09-11 09:14:13.000","2025-09-11 08:14:41.992","2025-09-11 08:14:41.992","2025-09-11 09:14:41.992","F","4096","77","Motion End","EV_MU_TILT_END","Motion End","1","LOW","event_home_office_20250911081726.jsonl","home_office","2025-09-11","1757646197.100763","8qjRZvr4kZyg+Q",,
"3606125","42662","688","2930670","2025-09-10 18:09:00.000","2025-09-10 19:09:00.000","2025-09-10 18:09:00.000","2025-09-10 19:09:00.000","2025-09-10 18:09:16.745","2025-09-10 18:09:16.745","2025-09-10 19:09:16.745","F","0","157","Status Check","EV_PARTIAL_CALLBACK","Status Check","1","LOW","event_home_office_20250911070226.jsonl","home_office","2025-09-11","1757647064.17855","BQZRH0nfSDGSWg",,
"3606198","42662","688","2930749","2025-09-10 19:09:00.000","2025-09-10 20:09:00.000","2025-09-10 19:09:00.000","2025-09-10 20:09:00.000","2025-09-10 19:09:06.456","2025-09-10 19:09:06.456","2025-09-10 20:09:06.456","F","0","157","Status Check","EV_PARTIAL_CALLBACK","Status Check","1","LOW","event_home_office_20250911070226.jsonl","home_office","2025-09-11","1757647064.17855","eZSl6CgbPrxZLg",,
"3606264","42662","688","2930821","2025-09-10 20:09:00.000","2025-09-10 21:09:00.000","2025-09-10 20:09:00.000","2025-09-10 21:09:00.000","2025-09-10 20:09:11.112","2025-09-10 20:09:11.112","2025-09-10 21:09:11.112","F","0","157","Status Check","EV_PARTIAL_CALLBACK","Status Check","1","LOW","event_home_office_20250911070226.jsonl","home_office","2025-09-11","1757647064.17855","8S8XUN6dHWksBw",,
"3606335","42662","688","2930897","2025-09-10 21:09:00.000","2025-09-10 22:09:00.000","2025-09-10 21:09:00.000","2025-09-10 22:09:00.000","2025-09-10 21:09:16.013","2025-09-10 21:09:16.013","2025-09-10 22:09:16.013","F","0","157","Status Check","EV_PARTIAL_CALLBACK","Status Check","1","LOW","event_home_office_20250911070226.jsonl","home_office","2025-09-11","1757647064.17855","DwdYVxekBus3SQ",,
"3606401","42662","688","2930968","2025-09-10 22:09:00.000","2025-09-10 23:09:00.000","2025-09-10 22:09:00.000","2025-09-10 23:09:00.000","2025-09-10 22:09:05.787","2025-09-10 22:09:05.787","2025-09-10 23:09:05.787","F","0","157","Status Check","EV_PARTIAL_CALLBACK","Status Check","1","LOW","event_home_office_20250911070226.jsonl","home_office","2025-09-11","1757647064.17855","TNniGwTuxynmcA",,
"3606481","42662","688","2931052","2025-09-10 23:09:01.000","2025-09-11 00:09:01.000","2025-09-10 23:09:01.000","2025-09-11 00:09:01.000","2025-09-10 23:09:10.996","2025-09-10 23:09:10.996","2025-09-11 00:09:10.996","F","0","157","Status Check","EV_PARTIAL_CALLBACK","Status Check","1","LOW","event_home_office_20250911070226.jsonl","home_office","2025-09-11","1757647064.17855","LZuQeHF+Atg0Bw",,
"3606580","42662","688","2931155","2025-09-11 00:09:01.000","2025-09-11 01:09:01.000","2025-09-11 00:09:01.000","2025-09-11 01:09:01.000","2025-09-11 00:09:16.114","2025-09-11 00:09:16.114","2025-09-11 01:09:16.114","F","0","157","Status Check","EV_PARTIAL_CALLBACK","Status Check","1","LOW","event_home_office_20250911070226.jsonl","home_office","2025-09-11","1757647064.17855","u82RoHs8UfLcWQ",,
"3606660","42662","688","2931240","2025-09-11 01:09:00.000","2025-09-11 02:09:00.000","2025-09-11 01:09:00.000","2025-09-11 02:09:00.000","2025-09-11 01:09:06.277","2025-09-11 01:09:06.277","2025-09-11 02:09:06.277","F","0","157","Status Check","EV_PARTIAL_CALLBACK","Status Check","1","LOW","event_home_office_20250911070226.jsonl","home_office","2025-09-11","1757647064.17855","s+jvpnGr1saBBw",,
